"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"163","CA0400028","BIG BEND MOBILEHOME PARK","Butte","Community water system",NA,NA,NA
"164","CA0400037","HARMONY MOBILE HOME PARK","Butte","Community water system",NA,NA,NA
"165","CA2210944","GREELEY HILL SQUARE - GOLD RUSH CHARTER","Mariposa","Non-Transient non-community system",NA,NA,NA
"166","CA5403034","USFS-JERKEY MEADOW TRAILHEAD","Tulare","Transient non-community system",NA,NA,NA
"167","CA5403021","USFS-JOHNSONDALE WORK CENTER","Tulare","Transient non-community system",NA,NA,NA
"168","CA5400827","USFS-KENNEDY CAMPGROUND","Tulare","Transient non-community system",NA,NA,NA
"169","CA5400772","USFS-HOT SPRINGS RANGER STATION","Tulare","Transient non-community system",NA,NA,NA
"170","CA1502685","USFS - LK ISABELLA OFFICE WATER SYSTEM","Kern","Transient non-community system",NA,NA,NA
"171","CA5403085","USFS-BLACKROCK TRAILHEAD","Tulare","Transient non-community system",NA,NA,NA
"172","CA4000703","SAN SIMEON CREEK RANCH","San Luis Obispo","Transient non-community system",NA,NA,NA
"173","CA4000711","SAN LUIS BUSINESS PARK","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"174","CA4000717","200 SUBURBAN ROAD WATER SUPPLY","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"175","CA4000726","TANK FARM INDUSTRIAL PLAZA","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"176","CA4000728","WHITSON INDUSTRIAL PARK","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"177","CA4000743","UPS - SAN LUIS OBISPO","San Luis Obispo","Non-Transient non-community system",NA,NA,NA
"178","CA4200926","RANCHO SAN MARCOS GOLF COURSE","Santa Barbara","Transient non-community system",NA,NA,NA
"179","CA1805009","WEST PATTON VILLAGE CSD","Lassen","Community water system",NA,NA,NA
"180","CA4700644","TRAILER LANE RV PARK","Siskiyou","Transient non-community system",NA,NA,NA
"181","CA0400046","PONDEROSA MOBILE ESTATES","Butte","Community water system",NA,NA,NA
"182","CA0400048","SCOTTY 'S WATERFRONT GARDENS","Butte","Non-Transient non-community system",NA,NA,NA
"183","CA0400049","BUTTE CREEK MHP","Butte","Community water system",NA,NA,NA
"184","CA0605009","RICHMOND HUNTING CLUB - ARBUCKLE","Colusa","Transient non-community system",NA,NA,NA
"185","CA1502142","KERN VALLEY GOLF COURSE","Kern","Transient non-community system",NA,NA,NA
"186","CA4100531","LOG CABIN RANCH","San Mateo","Community water system",NA,NA,NA
"187","CA1510041","NORTH OF THE RIVER MWD","Kern","Community water system",NA,NA,NA
"188","CA2000847","SWEETWATER STEAKHOUSE & SALOON","Madera","Transient non-community system",NA,NA,NA
"189","CA2400239","GOLDEN BY-PRODUCTS, INC","Merced","Non-Transient non-community system",NA,NA,NA
"190","CA0800795","BAR-O RANCH","Del Norte","Non-Transient non-community system",NA,NA,NA
"191","CA3610853","CYA-YOUTH CORRECTIONAL FACILITY","San Bernardino","Community water system",NA,NA,NA
"192","CA4300861","KOVALIK WS","Santa Clara","Transient non-community system",NA,NA,NA
"193","CA1502222","KUNDERT BROTHERS FARMS, INC","Kern","Transient non-community system",NA,NA,NA
"194","CA2300840","MARIPOSA INSTITUTE","Mendocino","Transient non-community system",NA,NA,NA
"195","CA4900688","JOURNEY'S END MOBILE HOME PARK","Sonoma","Community water system",NA,NA,NA
"196","CA3901330","CHEROKEE FREIGHT LINES WATER SYSTEM","San Joaquin","Transient non-community system",NA,NA,NA
"197","CA5700813","SOUTHPORT DELI-MART","Yolo","Transient non-community system",NA,NA,NA
"198","CA0300627","AMADOR STATION","Amador","Transient non-community system",NA,NA,NA
"199","CA0300649","RANCHO CICADA","Amador","Transient non-community system",NA,NA,NA
"200","CA4901111","BELLEVUE UNION SCH DIST-KAWANA SCHOOL","Sonoma","Non-Transient non-community system",NA,NA,NA
"201","CA0500024","MOUNTAIN RANCH KITCHEN, THE","Calaveras","Transient non-community system",NA,NA,NA
"202","CA1100460","OLD ORCHARD R.V. PARK","Glenn","Transient non-community system",NA,NA,NA
"203","CA4900855","WEST FIELD COMMUNITY","Sonoma","Community water system",NA,NA,NA
