"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"412","CA1400035",NA,NA,NA,"LAKE SABRINA BOAT LANDING","Transient non-community system","Inyo"
"413","CA1300575",NA,NA,NA,"DATE GARDENS MOBILE HOME PARK","Community water system","Imperial"
"414","CA4901449",NA,NA,NA,"FURTHERMORE WINES WATER SYSTEM","Transient non-community system","Sonoma"
"415","CA0409194",NA,NA,NA,"FEDEX GROUND","Non-Transient non-community system","Butte"
"416","CA3301164",NA,NA,NA,"GENESIS SOLAR LLC","Non-Transient non-community system","Riverside"
"417","CA1800010",NA,NA,NA,"CLEAR CREEK LATTER DAY SAINTS CHURCH","Transient non-community system","Lassen"
"418","CA3902193",NA,NA,NA,"THE TRI-TIPERY @ 120","Transient non-community system","San Joaquin"
"419","CA2010016",NA,NA,NA,"RIVERSTONE/ROOTCREEK WATER DISTRICT","Community water system","Madera"
"420","CA4901466",NA,NA,NA,"SANGIACOMO WINERY","Transient non-community system","Sonoma"
"421","CA3301182",NA,NA,NA,"BELK FARMS","Transient non-community system","Riverside"
"422","CA2702708",NA,NA,NA,"OLD STAGE RD WS #21","Non-Transient non-community system","Monterey"
"423","CA3600485",NA,NA,NA,"FALLS PICNIC WATER SYSTEM","Transient non-community system","San Bernardino"
"424","CA1300687",NA,NA,NA,"IMPERIAL DATE GARDENS","Transient non-community system","Imperial"
"425","CA4000832",NA,NA,NA,"PARRISH FAMILY WINERY","Transient non-community system","San Luis Obispo"
"426","CA5601125",NA,NA,NA,"COMMUNITY MUTUAL WATER CO","Community water system","Ventura"
"427","CA3705076",NA,NA,NA,"NICKEL BEER WATER COMPANY","Transient non-community system","San Diego"
"428","CA1000667",NA,NA,NA,"BOB'S MARKET","Transient non-community system","Fresno"
"429","CA3902210",NA,NA,NA,"GERMAN GUYS","Transient non-community system","San Joaquin"
"430","CA4901464",NA,NA,NA,"DUTCHER CROSSING WINERY","Transient non-community system","Sonoma"
"431","CA2600577",NA,NA,NA,"MAMMOTH YOSEMITE AIRPORT","Transient non-community system","Mono"
"432","CA5402030",NA,NA,NA,"WAUKENA MARKET","Transient non-community system","Tulare"
"433","CA2702816",NA,NA,NA,"MERRILL GARDENS IRIS CANYON WS","Community water system","Monterey"
"434","CA2300951",NA,NA,NA,"ANDERSON VALLEY HEALTH CENTER","Transient non-community system","Mendocino"
"435","CA1500566",NA,NA,NA,"SPRING MOUNTAIN MUTUAL WATER COMPANY","Community water system","Kern"
"436","CA2400348",NA,NA,NA,"CITY OF MERCED WWTP","Non-Transient non-community system","Merced"
